Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes),Latitude,Longitude,Incin_Waste,AT_Waste,Total_Waste,Cluster
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ860,"HELSTON HEALTH OFFICES, TRENGROUSE WAY",TR13 8AX,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,1952,0.87,0,0.0,0,0.0,0,0,0,0,50.100683,-5.271872,0.87,0.0,0.87,1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ862,BANHAM HOUSE,PL31 2QT,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.468561,-4.741998,0.0,0.0,0.0,5
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ863,LONGREACH HOUSE,TR15 3ER,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Mental Health (including Specialist services),640,1.13,0,0.0,4000,5.63,0,0,0,0,50.229371,-5.244424,1.13,5.63,6.76,1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ866,BODMIN HOSPITAL,PL31 2QT,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Mixed service hospital,9024,12.78,0,0.0,14880,20.93,0,0,0,0,50.468561,-4.741998,12.78,20.93,33.71,5
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ867,STRATTON HOSPITAL,EX23 9BR,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),7835,12.2,0,0.0,128,0.18,0,0,0,0,50.830739,-4.517572,12.2,0.18,12.379999999999999,-1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ870,LAUNCESTON HOSPITAL,PL15 9JD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),4960,6.98,0,0.0,4256,5.99,0,0,0,0,50.628374,-4.359805,6.98,5.99,12.97,-1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A3,LISKEARD COMMUNITY HOSPITAL,PL14 3XD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Community hospital (with inpatient beds),14080,19.8,0,0.0,6048,7.42,0,0,0,0,50.461573,-4.451016,19.8,7.42,27.22,-1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A4,ST BARNABAS HOSPITAL,PL12 4BU,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,288,0.41,0,0.0,128,0.18,0,0,0,0,50.407319,-4.214082,0.41,0.18,0.59,-1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8A7,BODMIN HEALTH CENTRE,PL31 2LB,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.472848,-4.72264,0.0,0.0,0.0,5
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8C8,FALMOUTH HEALTH CENTRE,TR11 2LH,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.156385,-5.086067,0.0,0.0,0.0,1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8E2,BELLAIR HEALTH OFFICE,TR18 4TA,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.117689,-5.542555,0.0,0.0,0.0,1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8E3,CAMBORNE HEALTH OFFICE,TR14 7DL,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,2048,0.61,0,0.0,0,0.0,0,0,0,0,50.213378,-5.303706,0.61,0.0,0.61,1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8J8,TRURO HEALTH PARK,TR1 2JA,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.259971,-5.055912,0.0,0.0,0.0,1
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RJ8ORS,OTHER REPORTABLE SITES,PL26 6AD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Other Reportable Site,0,0.0,0,0.0,3042,1.21,0,0,0,0,50.327864,-4.772405,0.0,1.21,1.21,5
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,VNAAX,CAREW HOUSE (HEAD OFFICE),PL31 2QN,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,224,0.02,0,0.0,0,0.0,0,0,0,0,50.471755,-4.740858,0.02,0.0,0.02,5
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,A3C6M,UNIT 4 (BUSH PARK),PL6 7RG,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.414039,-4.089593,0.0,0.0,0.0,16
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,A3K7K,RESIDENCES - PLYMBRIDGE,PL6 8AJ,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.419685,-4.119124,0.0,0.0,0.0,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,A8N8J,PENINSULA COLLEGE OF MEDICINE,PL6 8BU,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,9981,16.49,0,0.0,0,0.0,0,0,0,0,50.417212,-4.110159,16.49,0.0,16.49,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,C7C1D,BIRCHAM HOUSE,PL6 5WR,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.41139,-4.121161,0.0,0.0,0.0,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,H5R4Z,PENINSULA RADIOLOGY,PL6 5WR,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,1433,0.72,0,0.0,38,0.12,0,0,0,0,50.41139,-4.121161,0.72,0.12,0.84,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,L0N3Y,UHP WAREHOUSE,PL6 7EZ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.44613,-4.119488,0.0,0.0,0.0,-1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,M2H2H,NU BUILDING,PL6 5YE,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0.0,0,0.0,63,0.12,0,0,0,0,50.416671,-4.121115,0.0,0.12,0.12,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,P2G6V,RIVERFORD HOUSE,PL6 7PL,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,354,0.12,0,0.0,6,0.02,0,0,0,0,50.421952,-4.087745,0.12,0.02,0.13999999999999999,16
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK901,MOUNT GOULD HOSPITAL,PL4 7QD,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Community hospital (with inpatient beds),12794,12.94,0,0.0,685,2.17,0,0,0,0,50.37838,-4.112782,12.94,2.17,15.11,-1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK906,"CUMBERLAND CENTRE, DAMEREL CLOSE",PL1 4JZ,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.369991,-4.167875,0.0,0.0,0.0,-1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK922,TAVISTOCK HOSPITAL,PL19 8LD,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),8311,11.95,0,0.0,632,2.01,0,0,0,0,50.547167,-4.153604,11.95,2.01,13.959999999999999,-1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK925,SCOTT HOSPITAL,PL2 2PQ,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,1332,0.49,0,0.0,26,0.08,0,0,0,0,50.390636,-4.161922,0.49,0.08,0.57,-1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK935,SOUTH HAMS HOSPITAL,TQ7 1AT,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),5376,8.42,0,0.0,445,1.42,0,0,0,0,50.28869,-3.778849,8.42,1.42,9.84,-1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK950,DERRIFORD HOSPITAL,PL6 8DH,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Specialist hospital (acute only),634799,1225.28,0,0.0,64382,203.69,0,0,0,0,50.416707,-4.113712,1225.28,203.69,1428.97,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK959,MOUNT GOULD LOCAL CARE CENTRE,PL4 7PY,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Community hospital (with inpatient beds),26817,34.86,0,0.0,1844,5.86,0,0,0,0,50.378822,-4.116642,34.86,5.86,40.72,-1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK960,THE PLYMOUTH DIALYSIS UNIT,PL6 7FL,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,29874,32.54,0,0.0,1721,5.47,0,0,0,0,50.418836,-4.093915,32.54,5.47,38.01,16
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RK9ORS,OTHER REPORTABLE SITES,PL6 8DH,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Other Reportable Site,1208,0.7,0,0.0,37,0.12,0,0,0,0,50.416707,-4.113712,0.7,0.12,0.82,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,T5Q9D,UNIVERSITY HOSPITALS PLYMOUTH ESTOVER,PL6 7LX,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,8920,1.92,0,0.0,102,0.32,0,0,0,0,50.420865,-4.094145,1.92,0.32,2.2399999999999998,16
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,Z2K9J,DIGITAL AND INNOVATION,PL6 8BT,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.415786,-4.108449,0.0,0.0,0.0,15
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,Z3H9N,BRIDGE HOUSE,PL6 7PL,NHS DEVON ICB,PLYMOUTH CITY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.421952,-4.087745,0.0,0.0,0.0,16
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RN325,GREAT WESTERN HOSPITAL,SN3 6BB,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",SWINDON BOROUGH COUNCIL,General acute hospital,53891,46.62,53660,114.0,83528,452.81,0,0,0,0,51.538529,-1.727188,46.62,566.81,613.43,3
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RN339,WEST SWINDON HEALTH CENTRE,SN5 7DL,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",SWINDON BOROUGH COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.558468,-1.829544,0.0,0.0,0.0,3
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RN3FJ,ELDENE HEALTH CENTRE,SN3 3RZ,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",SWINDON BOROUGH COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.554535,-1.735746,0.0,0.0,0.0,3
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RN3G2,SWINDON INTERMEDIATE CARE CENTRE,SN3 6BW,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",SWINDON BOROUGH COUNCIL,Community hospital (with inpatient beds),14254,4.67,2665,3.81,9523,20.86,0,0,0,0,51.538805,-1.725917,4.67,24.669999999999998,29.339999999999996,3
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RN3J5,WHALEBRIDGE NHS HEALTH CENTRE (SWINDON HEALTH CENTRE),SN1 2DQ,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",SWINDON BOROUGH COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.5623,-1.781591,0.0,0.0,0.0,3
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RN3J8,ORBITAL,SN25 4AN,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",SWINDON BOROUGH COUNCIL,Non inpatient,3537,1.53,0,0.0,0,0.0,0,0,0,0,51.597124,-1.807352,1.53,0.0,1.53,3
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RN3ORS,OTHER REPORTABLE SITES,SN3 6BB,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",SWINDON BOROUGH COUNCIL,Other Reportable Site,0,0.0,0,0.0,0,0.0,0,0,0,0,51.538529,-1.727188,0.0,0.0,0.0,3
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUAM,SAVERNAKE HOSPITAL,SN8 3HL,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",WILTSHIRE COUNCIL,Community hospital (with inpatient beds),Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.415406,-1.704914,0.0,0.0,0.0,3
RNZ,SALISBURY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,RNZ02,SALISBURY DISTRICT HOSPITAL,SP2 8BJ,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",WILTSHIRE COUNCIL,General acute hospital,149499,73.78,125308,229.97,130320,268.32,0,0,0,0,51.04394,-1.789814,73.78,498.28999999999996,572.0699999999999,-1
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,F7F9Z,GLOUCESTERSHIRE QUAYSIDE CDC,GL1 2TZ,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,472,0.12,3713,2.93,58,0.05,0,0,0,0,51.866202,-2.251588,0.12,2.98,3.1,14
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,G4V1K,RIVERSIDE HOUSE,GL53 7QB,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.892256,-2.067618,0.0,0.0,0.0,10
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,I2I6L,COLLEGE BATHS,GL53 7QB,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.892256,-2.067618,0.0,0.0,0.0,10
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,J0A2D,ASPEN MEDICAL CENTRE,GL1 3PX,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,854,1.02,1620,2.88,0,0.0,0,0,0,0,51.865641,-2.226895,1.02,2.88,3.9,13
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,Q6Y5P,THE WAREHOUSE,GL1 3PZ,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,51.864229,-2.231536,0.0,0.0,0.0,13
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE01,CHELTENHAM GENERAL HOSPITAL,GL53 7AN,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,General acute hospital,57990,70.48,77714,144.52,25407,81.85,0,0,0,0,51.892128,-2.071875,70.48,226.37,296.85,10
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE03,GLOUCESTER ROYAL HOSPITAL,GL1 3NN,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,General acute hospital,141105,167.73,267774,475.31,44236,131.61,0,0,0,0,51.866386,-2.232069,167.73,606.9200000000001,774.6500000000001,13
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE07,"VICTORIA WAREHOUSE, GLOUCESTER",GL1 2EL,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.863587,-2.250876,0.0,0.0,0.0,14
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE23,CIRENCESTER HOSPITAL,GL7 1UY,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.712109,-1.975629,0.0,0.0,0.0,3
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE27,STROUD MATERNITY HOSPITAL,GL5 2JB,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Specialist hospital (acute only),633,0.51,1056,0.41,479,0.41,0,0,0,0,51.742298,-2.208853,0.51,0.82,1.33,4
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE57,THIRLESTAINE BREAST CENTRE,GL53 7AS,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,1083,0.39,5674,4.27,0,0.0,0,0,0,0,51.888479,-2.069864,0.39,4.27,4.659999999999999,10
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE83,HEREFORD COUNTY HOSPITAL,HR1 2ER,NHS GLOUCESTERSHIRE ICB,HEREFORDSHIRE COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,52.058529,-2.707776,0.0,0.0,0.0,-1
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTE93,CINDERFORD DIALYSIS UNIT ,GL14 3JE,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,561,0.66,3667,6.26,0,0.0,0,0,0,0,51.836843,-2.512554,0.66,6.26,6.92,-1
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RTEORS,OTHER REPORTABLE SITES,GL53 7AG,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Other Reportable Site,0,0.0,0,0.0,899,1.48,0,0,0,0,51.89105,-2.070522,0.0,1.48,1.48,10
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,Z9N4I,SANDFORD EDUCATION CENTRE,GL53 7PX,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,51.89239,-2.069405,0.0,0.0,0.0,10
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RTQ01,CHARLTON LANE,GL53 9DZ,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Mental Health and Learning Disabilities,2878,0.7,286,0.14,5959,9.15,0,0,0,0,51.881059,-2.073674,0.7,9.290000000000001,9.99,10
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RTQ02,WOTTON LAWN,GL1 3PX,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Mental Health (including Specialist services),9729,1.4,1171,0.38,11617,4.21,0,0,0,0,51.865641,-2.226895,1.4,4.59,5.99,13
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RTQ03,GLOUCESTERSHIRE ROYAL HOSPITAL,GL1 3NN,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,51.866386,-2.232069,0.0,0.0,0.0,13
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RTQ04,STROUD GENERAL HOSPITAL,GL5 2HY,NHS GLOUCESTERSHIRE ICB,GLOUCESTERSHIRE COUNTY COUNCIL,Community hospital (with inpatient beds),10487,12.57,14648,9.7,18334,17.69,0,0,0,0,51.743027,-2.208132,12.57,27.39,39.96,4
